Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_A1 MPP SC2_VC0.csv;88529,60938;48103,78125;13934,80957;78,23632;1489,246338;399,276794;35305,67188;9,278345;472,787048;654,06958;309,089722;6,146133;118,886574;A1;SC2;VC;0;MPP;24h
export_A1 MPP SC2_Vi0.csv.1;122751,6406;55550,71875;2,217327;49,122417;344,708984;267,882538;32817,72656;98,992645;762,173218;217,20343;825,014771;3,437909;21,628923;A1;SC2;Vi;0;MPP;24h
export_A1 MPP SC2_Vi0.csv.2;97025,40625;66824,26563;1,893124;34,066059;394,619537;209,552124;32725,18164;94,261749;598,63855;169,960449;507,215576;3,388499;101,694359;A1;SC2;Vi;0;MPP;24h
export_A10 ST-HSC SC3_CF0.csv;164932,8906;106246,8594;23767,29883;456,915863;303,273285;218,699554;103,469177;164,093307;2116,912354;633,449707;381,24939;4,518971;120,092834;A10;SC3;CF;0;ST-HSC;24h
export_A10 ST-HSC SC3_CV1.csv.1;137988,2188;51451,98047;10113,9209;1011,420105;97,975433;156,751862;10826,28711;111,444206;976,671753;44,569595;167,843903;5,684714;7,81875;A10;SC3;CV;1;ST-HSC;24h
export_A10 ST-HSC SC3_CV1.csv.2;115529,7266;69394,20313;9456,722656;1066,359741;107,534073;227,807312;10200,375;118,279144;981,358093;12,495192;147,728317;5,645793;64,725494;A10;SC3;CV;1;ST-HSC;24h
export_A10 ST-HSC SC3_VC0.csv;137007,6094;75441,99219;12168,30176;471,686707;632,161865;301,662292;45082,64844;109,394585;1510,114258;510,44809;229,509933;6,179575;25,697083;A10;SC3;VC;0;ST-HSC;24h
export_A11 HSC SC3_CF0.csv;89207,01563;57332,25;26130,97656;372,23642;92,377769;30,097799;31,518461;140,986786;1095,12146;1148,391724;135,912582;4,183046;143,099136;A11;SC3;CF;0;HSC;24h
export_A12 HSC SC3_CF1.csv.1;105632,3828;72760,21875;11505,19043;801,971497;107,071915;92,218948;25,225906;88,001343;387,294006;14,232041;204,809723;3,862741;24,95723;A12;SC3;CF;1;HSC;24h
export_A12 HSC SC3_CF1.csv.2;94089,77344;60877,15625;10916,03516;600,091248;94,091141;41,53743;34,142174;107,622581;487,253326;17,606926;214,476227;3,939544;186,611603;A12;SC3;CF;1;HSC;24h
export_A12 HSC SC3_CV0.csv;112576,6875;63444,07031;18816,92969;551,514404;194,130615;299,941895;19171,82617;40,07795;716,079895;3246,5979;429,745972;6,050863;43,642448;A12;SC3;CV;0;HSC;24h
export_A2 MPP SC2_CF1.csv.1;107941,9609;49794,37891;11535,82227;150,77681;804,808655;327,430267;66,459076;97,820595;445,841492;100,856407;714,757507;4,161043;135,50383;A2;SC2;CF;1;MPP;24h
export_A2 MPP SC2_CF1.csv.2;101672,0859;87143,24219;12304,46973;81,979271;485,459839;174,530624;86,902672;134,708084;480,947327;85,12616;805,111816;4,263215;191,949753;A2;SC2;CF;1;MPP;24h
export_A3 ST-HSC SC2_CV0.csv;104928,9688;73450,44531;20476,40625;5,497651;150,338104;230,92804;17853,76563;-19,071909;83,295906;1290,127686;307,808624;6,054944;68,798668;A3;SC2;CV;0;ST-HSC;24h
export_A4 ST-HSC SC2_VC0.csv;122531,1484;67309,53906;12309,91309;74,692482;66,828484;458,497681;34382,53516;68,322639;747,660339;259,970337;355,669098;6,099922;50,695568;A4;SC2;VC;0;ST-HSC;24h
export_A5 HSC SC2_CF1.csv;90245,01563;53672,60156;14087,26367;2642,88501;60,46587;135,739792;21,345865;27,365061;26,518709;84,811668;323,133759;3,87363;27,729332;A5;SC2;CF;1;HSC;24h
export_A5 HSC SC2_CV0.csv;104264,5469;60994,37891;21712,02344;1950,057983;70,026993;366,754944;26370,3457;-156,509979;18,061193;2071,275635;314,024078;6,192711;40,884548;A5;SC2;CV;0;HSC;24h
export_A5 HSC SC2_VC1.csv;117188,8359;60184,08984;7197,833496;230,36293;67,471062;173,192719;23307,07031;162,186127;913,397339;34,114033;289,524445;5,815734;21,376442;A5;SC2;VC;1;HSC;24h
export_A5 HSC SC2_Vi0.csv;140910,9219;109806,0234;1,353773;1593,292236;48,819031;61,94392;46317,96094;102,492378;188,192764;19,064268;451,684967;3,3922;118,117859;A5;SC2;Vi;0;HSC;24h
export_A6 HSC SC2_CF0.csv;144202,0781;73188,96094;34803,78516;3815,53418;131,113708;79,275017;37,978291;-16,531973;67,733643;821,371155;388,599518;4,328315;56,136097;A6;SC2;CF;0;HSC;24h
export_A6 HSC SC2_CV0.csv;134439,6563;75696,14844;17269,04102;5160,00293;48,350288;261,502594;18782,70117;41,559898;518,261169;202,510483;394,422852;6,018204;73,490097;A6;SC2;CV;0;HSC;24h
export_A6 HSC SC2_VC1.csv;89186,8125;47854,92188;11129,48047;631,615234;100,878281;177,367584;33273,30859;74,966537;26,831156;1123,986084;143,775406;6,058895;108,773727;A6;SC2;VC;1;HSC;24h
