Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family;Class;Cell_color;Cell_rank
export_C8 MPP SC3_CV1.csv.1;120730,0078;70519,01563;15373,9668;519,971558;296,467285;225,168533;6881,384765999999;64,103951;3426,208008;502,425201;256,544739;5,674151;4,011469;C8;SC3;CV;1;MPP;24h;P+ILs;TT23;C8_TT23;C8CV24hMPPTT23;SLAM-HSC;Red;0
export_C8 MPP SC3_CV1.csv.2;119686,9375;62034,125;13667,55566;514,8026120000002;253,79393;170,388824;5690,293457;150,72306799999996;3570,229248;631,8690190000002;340,555054;5,579656;216,751129;C8;SC3;CV;1;MPP;24h;P+ILs;TT23;C8_TT23;C8CV24hMPPTT23;SLAM-HSC;Red;0
export_C8 MPP SC3_VC0.csv;99572,71094;59794,01953;8184,649901999999;151,381714;1099,965942;132,181;17928,46875;96,529129;2293,981445;1330,481079;255,486923;5,774618;117,820679;C8;SC3;VC;0;MPP;24h;P+ILs;TT23;C8_TT23;C8VC24hMPPTT23;MPP;Limegreen;3
export_C9 ST-HSC SC3_VC1.csv.1;158645,1875;116037,3203;5441,397461;-52,278679;158,44139099999995;3049,815674;12596,85449;15,982248;1518,632324;148,16949499999996;625,5750730000002;5,540869;22,717989000000006;C9;SC3;VC;1;ST-HSC;24h;P+ILs;TT23;C9_TT23;C9VC24hST-HSCTT23;GMP;aqua;5
export_C9 ST-HSC SC3_VC1.csv.2;150616,1406;90461,71875;4933,599121;85,32418100000002;197,673386;1380,521118;10477,68945;284,659851;1420,689331;67,794327;534,668945;5,454218;121,363945;C9;SC3;VC;1;ST-HSC;24h;P+ILs;TT23;C9_TT23;C9VC24hST-HSCTT23;GMP;aqua;5
export_C9 ST-HSC SC3_Vi1.csv;106793,8047;71127,42188;0,971509;102,241974;177,84083600000002;220,102661;15035,48145;120,015076;2215,088379;579,854736;234,238525;2,944791;152,154953;C9;SC3;Vi;1;ST-HSC;24h;P+ILs;TT23;C9_TT23;C9Vi24hST-HSCTT23;ST-HSC;#deff19;2
export_D10 ST-HSC SC3_CV1.csv.1;88508,41406;63692,51563;13663,62695;91,937065;116,741684;329,2211910000001;4974,864746;194,228104;1516,953491;78,86335;342,354919;5,538306;21,186758;D10;SC3;CV;1;ST-HSC;24h;P+ILs;TT23;D10_TT23;D10CV24hST-HSCTT23;MEP;Deepskyblue;6
export_D10 ST-HSC SC3_CV1.csv.2;114993,9688;49194,77734;12826,37402;87,031693;94,369614;299,7487490000001;4758,6245119999985;134,55719;1706,018555;93,212898;278,772552;5,5052400000000015;36,678268;D10;SC3;CV;1;ST-HSC;24h;P+ILs;TT23;D10_TT23;D10CV24hST-HSCTT23;MEP;Deepskyblue;6
export_D10 ST-HSC SC3_Vi0.csv;120431,1797;91097,57031;0,38663;178,38038600000004;143,553741;638,895386;21927,01563;133,680603;2235,217285;69,859337;222,754608;2,77771;124,748711;D10;SC3;Vi;0;ST-HSC;24h;P+ILs;TT23;D10_TT23;D10Vi24hST-HSCTT23;GMP;aqua;5
export_D11 HSC SC3_CF0.csv;105263,7891;60828,82422;19354,18164;1430,748657;67,469841;25,731524;22,236422;57,933285;14,271771;375,129578;263,844971;3,983726;197,904495;D11;SC3;CF;0;SLAM-HSC;24h;P+ILs;TT23;D11_TT23;D11CF24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_D11 HSC SC3_CV0.csv;101039,9688;53704,21484;27537,5293;1545,4104;85,71333299999998;98,079597;11240,7334;43,145702;246,2117;29,088425;322,1226200000001;6,003845;131,09552;D11;SC3;CV;0;SLAM-HSC;24h;P+ILs;TT23;D11_TT23;D11CV24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_D11 HSC SC3_Vi0.csv;152274,1719;108293,5;0,439622;2035,892334;62,118725;897,0695800000002;26722,87891;27,956018;1107,663574;116,494293;646,780823;2,877898;132,816071;D11;SC3;Vi;0;SLAM-HSC;24h;P+ILs;TT23;D11_TT23;D11Vi24hSLAM-HSCTT23;GMP;aqua;5
export_D12 HSC SC3_CV1.csv;135753,9219;90367,38281;17495,63281;680,398682;74,82399699999998;760,768494;7134,962890999999;180,298721;1278,5974119999996;125,852722;216,467453;5,724964;20,310223;D12;SC3;CV;1;SLAM-HSC;24h;P+ILs;TT23;D12_TT23;D12CV24hSLAM-HSCTT23;GMP;aqua;5
export_D12 HSC SC3_VC1.csv.1;104485,9844;52035,45313;8013,282715;83,258041;133,432526;92,64444;16389,375;-34,103493;-12,989933;5786,193848;369,952942;5,740557;68,85347;D12;SC3;VC;1;SLAM-HSC;24h;P+ILs;TT23;D12_TT23;D12VC24hSLAM-HSCTT23;ST-HSC;#deff19;2
export_D12 HSC SC3_VC1.csv.2;97984,60938;63907,94141;8816,737305;1545,963745;89,627998;202,759384;19162,41406;-153,484711;-15,371696;5448,756836;407,846741;5,817904;128,243149;D12;SC3;VC;1;SLAM-HSC;24h;P+ILs;TT23;D12_TT23;D12VC24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_D12 HSC SC3_Vi0.csv;125964,3125;80749,4375;3,420836;438,729614;193,159607;316,01001;28752,64063;-253,156296;145,108871;4585,569824;124,783958;3,53045;77,847137;D12;SC3;Vi;0;SLAM-HSC;24h;P+ILs;TT23;D12_TT23;D12Vi24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_D2 MPP SC2_VC1.csv.1;105518,6953;52399,20313;6745,109375;-42,960392;850,1764529999998;208,012848;14049,28223;131,317596;124,824318;1667,079346;296,198486;5,640338;83,137062;D2;SC2;VC;1;MPP;24h;P;TT23;D2_TT23;D2VC24hMPPTT23;MPP;Limegreen;3
export_D2 MPP SC2_VC1.csv.2;117469,4609;76909,51563;7956,383301000002;76,781868;1033,672729;105,049957;18532,73242;-8,637755;269,866577;1750,837036;353,741333;5,776112;175,814774;D2;SC2;VC;1;MPP;24h;P;TT23;D2_TT23;D2VC24hMPPTT23;MPP;Limegreen;3
export_D3 ST-HSC SC2_CV0.csv;108599,7813;58805,60547;23557,35547;197,161453;406,188904;240,771484;9727,583008;18,515121;84,410599;745,439575;418,639099;5,911506;86,86913299999998;D3;SC2;CV;0;ST-HSC;24h;P;TT23;D3_TT23;D3CV24hST-HSCTT23;ST-HSC;#deff19;2
export_D4 ST-HSC SC2_VC0.csv;143768,7031;87988,55469;7141,839355;32,474068;393,85141;261,292664;19354,93555;72,115852;1471,534058;237,284851;584,82782;5,756275;70,045799;D4;SC2;VC;0;ST-HSC;24h;P;TT23;D4_TT23;D4VC24hST-HSCTT23;ST-HSC;#deff19;2
export_D4 ST-HSC SC2_Vi0.csv;112276,9375;52298,36719;0,25615;244,870132;247,757736;-14,852228;22655,43555;96,291153;34,61459;336,525391;219,056549;2,661315;101,877686;D4;SC2;Vi;0;ST-HSC;24h;P;TT23;D4_TT23;D4Vi24hST-HSCTT23;ST-HSC;#deff19;2
export_D5 HSC SC2_CF1.csv;110263,5781;58177,30469;19186,67383;615,853943;96,477898;85,938347;18,512508;130,649963;729,3632809999998;44,297634;189,413895;3,924771;44,853489;D5;SC2;CF;1;SLAM-HSC;24h;P;TT23;D5_TT23;D5CF24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_D5 HSC SC2_CV1.csv;106633,7031;51162,98047;16847,23438;786,180969;83,701073;134,320801;7741,526855;-2,446169;34,158039;13,610804000000002;333,707245;5,738423;168,305038;D5;SC2;CV;1;SLAM-HSC;24h;P;TT23;D5_TT23;D5CV24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_D5 HSC SC2_VC0.csv;135711,7969;91230,10156;13799,6416;1085,868164;295,717346;222,899048;27175,61719;-78,653534;63,059559;2517,514404;436,548767;6,062767;145,993271;D5;SC2;VC;0;SLAM-HSC;24h;P;TT23;D5_TT23;D5VC24hSLAM-HSCTT23;SLAM-HSC;Red;0
export_D6 HSC SC2_CF0.csv;136076,6719;92476,35938;25185,77539;1158,797241;24,018753;34,96236;30,920071000000004;218,028275;559,9948730000001;111,706764;396,322021;4,165846;190,975037;D6;SC2;CF;0;SLAM-HSC;24h;P;TT23;D6_TT23;D6CF24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_D6 HSC SC2_Vi0.csv;134272,4063;103764,2969;5,143721;2107,147705;45,054821;41,759686;18917,98828;161,856277;190,011856;44,581215;258,735657;3,527156;69,572983;D6;SC2;Vi;0;SLAM-HSC;24h;P;TT23;D6_TT23;D6Vi24hSLAM-HSCTT23;SLAM+ MEP;Royalblue;7
export_D7 MPP SC3_CF0.csv;118497,5859;79068,92969;22113,76953;-27,55316;2816,604004;211,126785;81,784836;74,268539;1803,552124;1365,869751;341,956757;4,424604;162,985153;D7;SC3;CF;0;MPP;24h;P+ILs;TT23;D7_TT23;D7CF24hMPPTT23;MPP;Limegreen;3
export_D7 MPP SC3_CV1.csv;113686,6797;44145,04688;18169,33789;464,913635;534,967712;150,118729;6638,303711;-126,095398;329,4399410000001;4196,927734000001;202,845749;5,71441;36,145866;D7;SC3;CV;1;MPP;24h;P+ILs;TT23;D7_TT23;D7CV24hMPPTT23;SLAM+ Flt3+;seagreen;4
export_D7 MPP SC3_VC0.csv;128258,0156;81111,26563;9122,204102;334,402252;232,56704700000003;115,198227;17057,25586;179,110107;1051,848999;426,478912;463,04718;5,792625;23,754307;D7;SC3;VC;0;MPP;24h;P+ILs;TT23;D7_TT23;D7VC24hMPPTT23;SLAM-HSC;Red;0
export_E10 ST-HSC SC3_CF0.csv;124841,6719;58494,48828;27390,57227;750,032715;474,158295;103,072067;31,205544;12,454571;190,152466;1978,259521;132,151276;4,194439;162,97258;E10;SC3;CF;0;ST-HSC;24h;P+ILs;TT23;E10_TT23;E10CF24hST-HSCTT23;SLAM-HSC;Red;0
