Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_B10 ST-HSC SC3_CV0.csv;141492,8281;94794,21094;25516,50391;141,034988;235,270477;697,57074;19704,35742;150,182953;618,515869;717,9776;279,391571;6,152807;55,116531;B10;SC3;CV;0;ST-HSC;24h
export_B10 ST-HSC SC3_Vi1.csv.1;99957,98438;70841,80469;1,695952;97,005356;116,481804;96,704361;24965,52539;118,290215;872,152893;107,407661;398,177032;3,271609;80,579895;B10;SC3;Vi;1;ST-HSC;24h
export_B10 ST-HSC SC3_Vi1.csv.2;107457,2031;55297,81641;1,498325;407,099701;203,791138;144,572479;27946,31836;150,141998;1059,882813;285,750305;276,517548;3,268198;98,354439;B10;SC3;Vi;1;ST-HSC;24h
export_B11 HSC SC3_CF0.csv;99775,30469;68414,71875;27820,32031;6390,586914;150,595779;235,431488;76,418015;147,204697;-24,12068;3790,077881;83,057251;4,474259;31,916609;B11;SC3;CF;0;HSC;24h
export_B11 HSC SC3_VC1.csv;83346,55469;74108,41406;4202,577637;359,516724;109,700722;82,685547;12843,13672;155,488022;189,367661;23,958639;115,122551;5,467482;99,796364;B11;SC3;VC;1;HSC;24h
export_B11 HSC SC3_Vi1.csv;120377,0313;73614,74219;1,173235;672,577271;103,029449;144,11972;22705,89063;10,149044;153,456757;1596,517944;219,226227;3,129318;201,32634;B11;SC3;Vi;1;HSC;24h
export_B12 HSC SC3_CV1.csv.1;167942,0625;85775,38281;15646,80371;2286,683105;99,703529;151,683838;11159,63379;236,005203;521,128296;90,465958;123,732887;5,828028;4,996884;B12;SC3;CV;1;HSC;24h
export_B12 HSC SC3_CV1.csv.2;110774,9844;77163,46875;14927,73438;2079,414063;118,382957;283,040833;10558,48145;307,912079;513,144836;87,574783;257,464661;5,796575;218,975723;B12;SC3;CV;1;HSC;24h
export_B2 MPP SC2_CV0.csv;107016,9063;83443,73438;22420,26758;110,208908;988,146973;407,526062;19692,80469;73,286674;603,426392;623,182739;538,542419;6,112902;124,260704;B2;SC2;CV;0;MPP;24h
export_B2 MPP SC2_Vi0.csv;141047,0625;86826,36719;0,917909;95,917656;312,389923;330,100098;41621,26953;139,611542;197,493332;1003,898682;245,899597;3,240045;134,148422;B2;SC2;Vi;0;MPP;24h
export_B3 ST-HSC SC2_CF1.csv.1;118192,6875;46071,14063;14972,38672;60,612797;357,687866;204,965668;36,80246;45,085854;95,447945;431,269073;289,895355;4,059619;76,652023;B3;SC2;CF;1;ST-HSC;24h
export_B3 ST-HSC SC2_CF1.csv.2;83921,32813;55139,66016;14370,11035;29,812672;368,894653;281,95697;36,396076;41,047062;116,844627;415,236084;319,338257;4,043601;96,339058;B3;SC2;CF;1;ST-HSC;24h
export_B3 ST-HSC SC2_CV0.csv;152060,8281;96061;27349,04297;98,978157;189,904892;444,577423;21237,33594;3,91362;614,205322;43,719238;651,315613;6,197114;114,567368;B3;SC2;CV;0;ST-HSC;24h
export_B3 ST-HSC SC2_Vi1.csv.1;159531,8438;80566,9375;0,970924;915,31189;78,481499;230,026382;28411,35547;185,824203;459,091217;54,31979;343,456024;3,140033;37,817017;B3;SC2;Vi;1;ST-HSC;24h
export_B3 ST-HSC SC2_Vi1.csv.2;100396,2344;75155,99219;2,409362;255,318512;101,963066;276,708435;25018,67773;136,787521;799,168091;14,636024;302,193359;3,380088;123,66227;B3;SC2;Vi;1;ST-HSC;24h
export_B4 ST-HSC SC2_CV0.csv;75349,11719;44010,64844;18945,47266;127,85672;67,663986;205,815369;12809,49316;50,097126;100,561249;44,259922;343,529205;5,929117;195,623184;B4;SC2;CV;0;ST-HSC;24h
