FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family
158693;92364,23438;123463,6953;3263,334717;3543,668701;6,014692;-145,48497;21263,55664;2321,820068;17,710268;CF;C7;SC3;MPP;24h;P+ILs;TT23;C7_TT23;C7CF24hMPPTT23
125290;86868,8125;87802,96094;1858,898926;2782,187256;-19,543024;579,668091;15098,66309;1366,379883;17,984625;CF;C8;SC3;MPP;24h;P+ILs;TT23;C8_TT23;C8CF24hMPPTT23
149476;92662,92188;106414,5625;676,588745;4511,296875;-18,251015;1548,345459;23429,27734;638,7167969999998;18,282351;CF;C9;SC3;ST-HSC;24h;P+ILs;TT23;C9_TT23;C9CF24hST-HSCTT23
126964;82858,51563;107933,0078;3807,856934;5612,044922;-39,504784;438,931946;9393,219727;301,176941;18,575556;CF;C10;SC3;ST-HSC;24h;P+ILs;TT23;C10_TT23;C10CF24hST-HSCTT23
153706;89493,95313;115178,9141;4450,657715;9117,65332;-40,408768;22410,17383;1299,884155;140,333664;18,971792;CF;C11;SC3;SLAM-HSC;24h;P+ILs;TT23;C11_TT23;C11CF24hSLAM-HSCTT23
129297;65071,58203;88927,51563;1288,820435;3836,611084000001;1,487382;14689,86523;7978,604004000002;662,884827;19,364025;CF;C12;SC3;SLAM-HSC;24h;P+ILs;TT23;C12_TT23;C12CF24hSLAM-HSCTT23
144728;66136,63281;141332,7344;5824,945801;4353,159668;-26,522095;3260,338623;486,844238;73,174873;19,64871;CF;D12;SC3;SLAM-HSC;24h;P+ILs;TT23;D12_TT23;D12CF24hSLAM-HSCTT23
141551;57977,99219;72963,66406;182,107956;7169,41748;-54,32735400000001;13220,50977;8059,320312999998;-6,7818770000000015;19,941658;CF;D11;SC3;SLAM-HSC;24h;P+ILs;TT23;D11_TT23;D11CF24hSLAM-HSCTT23
174403;98637,91406;130003,9375;3030,250488;4570,698242;-22,574766;573,4506230000002;15050,923830000002;452,575348;20,23538;CF;D10;SC3;ST-HSC;24h;P+ILs;TT23;D10_TT23;D10CF24hST-HSCTT23
137626;74095,35156;75385,3125;30,671227;6402,557129;-25,549189;194,081512;14191,00586;286,783325;20,666605;CF;D9;SC3;ST-HSC;24h;P+ILs;TT23;D9_TT23;D9CF24hST-HSCTT23
140197;76457,5;85431,29688;4947,373047;2186,515381;-31,068499;933,618042;10695,02441;3590,528320000001;21,030951;CF;D8;SC3;MPP;24h;P+ILs;TT23;D8_TT23;D8CF24hMPPTT23
150592;89484,4375;111075,7969;6527,5322270000015;4412,87793;-25,205996;228,913345;12427,61231;4625,067871;21,345978;CF;D7;SC3;MPP;24h;P+ILs;TT23;D7_TT23;D7CF24hMPPTT23
131647;71295,28125;86107,21094;1164,199951;6323,591797;-42,696011;14831,34863;1218,745361;11,226547;21,569723;CF;D6;SC2;SLAM-HSC;24h;P;TT23;D6_TT23;D6CF24hSLAM-HSCTT23
144573;91511,00781;130206,2344;5489,893555;6238,948242;-24,956762;12292,30371;1439,939331;144,855576;22,007919;CF;D5;SC2;SLAM-HSC;24h;P;TT23;D5_TT23;D5CF24hSLAM-HSCTT23
143725;101322,5547;117701,7188;-247,501846;2942,692627;14,111591;1228,780762;38532,52734;346,670258;22,252064;CF;D4;SC2;ST-HSC;24h;P;TT23;D4_TT23;D4CF24hST-HSCTT23
142188;72779,21094;92302,35156;2068,256836;3835,051025;-19,216576;471,861603;15908,013669999998;378,667877;22,582325;CF;D3;SC2;ST-HSC;24h;P;TT23;D3_TT23;D3CF24hST-HSCTT23
153685;93117,50781;93021,11719;2503,573975;3522,332031000001;-24,081821;2311,0263670000004;19773,61328;5136,894043;22,834734;CF;D2;SC2;MPP;24h;P;TT23;D2_TT23;D2CF24hMPPTT23
