FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
161583;82098,10156;71717,73438;908,925293;1975,175171;-34,507111;348,67157;48719,46875;1689,829102;4,197558;CF;A1;SC2;MPP;24h
190995;91571,69531;106107,5469;6001,472168;8735,123047;35,212334;-117,366302;1076,420776;1145,36438;4,571737;CF;A2;SC2;MPP;24h
188091;124249,0938;105934,9922;9099,335938;5838,445801;-15,407311;2674,279785;42120,63672;574,12854;4,987268;CF;A3;SC2;ST-HSC;24h
145310;85803,76563;88560,99219;5687,979004;2403,657959;-12,49472;1601,287354;23208,10742;626,455139;5,427413;CF;A4;SC2;ST-HSC;24h
187983;78549,52344;112663,2578;1078,378174;7977,685059;-68,283134;29929,50781;696,213562;-55,499985;6,506155;CF;A5;SC2;HSC;24h
143639;75693,52344;85551,48438;-130,865753;3582,651855;-46,425552;31211,18555;25515,86914;15,919662;7,377131;CF;A6;SC2;HSC;24h
179311;238473,625;103840,5938;7406,751953;3177,293701;55,798409;2437,365234;12377,21387;4410,239258;7,678136;CF;A7;SC3;MPP;24h
125624;69980,33594;57673,35156;4453,571289;2685,112305;3,793914;444,422546;13463,2793;1470,012939;8,404319;CF;A8;SC3;MPP;24h
171290;93470,9375;89432,07813;5329,618164;2506,913086;-10,395661;1075,460693;26405,20703;371,887939;8,779939;CF;A9;SC3;ST-HSC;24h
139327;66864,91406;87186,54688;7605,853516;4948,93457;-32,937981;1265,950562;14073,18066;207,88591;9,051009;CF;A10;SC3;ST-HSC;24h
129696;68197,71094;76417,04688;3699,516602;4740,303711;-7,307108;3049,344971;6280,599609;308,047607;9,495811;CF;A11;SC3;HSC;24h
155836;56369,11328;77772,45313;3865,802246;5407,768555;-28,446032;9498,213867;653,188721;-46,414089;9,808125;CF;A12;SC3;HSC;24h
149845;89069,125;67816,91406;702,757202;4583,680176;-11,813107;8889,362305;47716,55078;654,027466;10,142058;CF;B12;SC3;HSC;24h
155568;68682,04688;95472,51563;-289,932922;3082,633545;-71,309959;46673,36719;31077,32813;38,778316;10,41834;CF;B11;SC3;HSC;24h
145155;106425,2734;78555,47656;2270,328125;3142,182617;-9,797571;-23,734888;35988,89453;531,011719;10,64196;CF;B10;SC3;ST-HSC;24h
171180;77969,99219;93718,45313;190,360825;11625,34277;-11,068312;-488,032166;7561,736328;484,318817;11,096739;CF;B9;SC3;ST-HSC;24h
160337;63174,72266;92340,4375;9512,116211;3232,698242;-21,326015;815,081055;3566,883301;1433,758057;11,323241;CF;B8;SC3;MPP;24h
166374;85762,11719;72227,05469;682,912048;2016,763916;-12,653351;2344,077881;78434,04688;1336,262817;11,552404;CF;B7;SC3;MPP;24h
150223;61675,32422;64428,98438;756,446838;5149,216797;-30,447479;4736,28125;13547,43164;38,581245;11,870817;CF;B6;SC2;HSC;24h
131399;86690,3125;87453,10156;1852,17981;3791,018311;-26,516027;5234,59375;41785,76172;112,854774;12,134349;CF;B5;SC2;HSC;24h
140129;65206,05469;80855,74219;5796,568848;3716,963623;-16,307144;735,11554;3565,258301;450,709564;12,34023;CF;B4;SC2;ST-HSC;24h
138937;55589,66406;68608,26563;4501,874023;3098,556885;-11,14222;542,309692;12211,92188;372,771484;12,562519;CF;B3;SC2;ST-HSC;24h
172338;87304,35156;101335,6484;10484,11035;3509,355225;28,784903;1066,037354;18558,86133;4344,492188;12,854767;CF;B2;SC2;MPP;24h
142223;67605,09375;62179,88281;569,514099;4754,905273;-6,558679;363,229523;12273,14258;1057,107178;13,278281;CF;B1;SC2;MPP;24h
139540;62451,20313;57167,60156;538,828064;3736,257324;-34,82296;208,414291;39274,29688;851,696533;13,559109;CF;C1;SC2;MPP;24h
152181;68795,09375;77902,16406;2870,110107;2369,194092;5,078323;992,94165;19209,66992;1008,429321;13,853462;CF;C2;SC2;MPP;24h
142020;55279,07422;71510,67188;4037,029297;5988,348633;-8,222905;-589,709961;1031,37146;192,835251;14,136728;CF;C3;SC2;ST-HSC;24h
129588;58248,12109;55004,18359;7743,648926;3990,661621;-13,915831;358,507263;949,226074;282,540833;14,579866;CF;C4;SC2;ST-HSC;24h
158017;79939,44531;71112,02344;558,720215;5496,177734;-4,818586;32199,28516;7362,680664;-136,150131;14,900274;CF;C5;SC2;HSC;24h
144964;119716,3828;62916,49219;1664,045776;4080,149902;-7,002591;16184,125;639,232117;2,737648;15,228885;CF;C6;SC2;HSC;24h
135267;79099,30469;83910,47656;577,888367;2147,895752;-22,43598;455,098328;11885,84766;2272,374756;15,556278;CF;C7;SC3;MPP;24h
144261;58055,34375;75542,39063;2557,664551;2128,044678;-27,879143;822,627197;60907,22656;1278,102905;15,813601;CF;C8;SC3;MPP;24h
115666;74267,90625;60493,65234;548,862793;4840,989746;-21,963354;548,91217;6727,084961;213,815231;16,086113;CF;C9;SC3;ST-HSC;24h
124389;59954,58203;82031,46094;1914,974609;4277,945313;-7,225724;1175,684326;6030,250488;482,426544;16,334126;CF;C10;SC3;ST-HSC;24h
158667;96498,29688;72529,3125;3941,782715;7090,369141;-11,418034;6136,159668;762,109863;113,530502;16,540339;CF;C11;SC3;HSC;24h
148735;87066,35156;94699,01563;104,745438;3751,420654;-33,060905;7571,214355;30103,29102;-38,341469;16,929928;CF;C12;SC3;HSC;24h
