Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Original_cell;Culture_time
export_H1 bulk ckit+ SC4_CF0.csv.29;150625,5;97322,51563;15946,48242;208,58165;106,039436;966,909363;63,431011;225,850342;986,916687;95,472603;725,216797;4,246152;25,419548;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.30;95733,0625;64963,99219;12190,66895;118,872894;239,870514;75,345154;43,130402;165,843384;997,116211;126,327362;92,115585;4,045224;28,096373;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.31;138329,1094;104669,1328;13066,15918;146,370804;213,037613;1289,734009;70,28363;-79,035873;794,941345;90,747879;650,839172;4,216479;28,475863;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.32;188583,4219;125463,9297;12371,27344;138,716614;125,359138;200,936783;105,951393;167,874985;1855,216064;152,609421;573,352661;4,325741;28,941095;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.33;122588,1328;92636,35938;13525,36231;35,995548;126,511429;2428,479736;65,511795;267,323181;560,760559;103,774101;569,664551;4,205495;29,244358;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.34;151256,1094;90143,74219;14863,56348;46,133034;125,562958;91,672432;66,307487;98,158257;1116,655884;460,062286;426,63028;4,238176;30,309992;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.35;117611,4922;85476,55469;10431,08789;131,034683;128,861038;113,008797;55,95668;139,341812;857,590576;365,338959;307,652466;4,077306;30,628605;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.36;133794,0625;86460,875;10029,00098;19,424267;161,418564;221,786957;76,267693;89,448448;590,596008;415,499359;422,463928;4,160332;31,349377;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.37;144213,9844;90001,63281;12926,45313;92,741554;104,888138;61,037991;40,150883;80,241219;726,437256;314,53302;379,724457;4,041239;32,613403;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.38;117769,5938;69716,25;15588,95313;252,029907;194,15004;91,140877;38,825214;10,245247;13,858806;2983,702881;356,930939;4,088442;32,656403;SC4;CF;0;ckit+;24h
