Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CF0.csv.1;142659,4844;149878,0313;25765,21289;121,935989;159,311981;2382,695557;430,916992;256,627045;544,098389;-4,161994;132,619308;4,981869;0,343336;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.2;137019,3906;120211,8359;39531,83984;448,720154;66,290581;53,032799;63,657627;86,03997;185,485916;109,00798;869,790283;4,526047;0,524025;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.3;113154,0703;75792,20313;19453,50195;125,595535;496,49295;155,333191;71,953255;25,783146;132,134583;1335,975586;468,074615;4,345912;2,409253;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.4;125152,9922;91134,84375;22101,83594;366,238861;75,667274;37,410213;47,901566;119,304771;218,227005;31,057573;383,322693;4,260161;3,002145;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.5;91350,03906;60117,375;22847,64844;154,760834;149,220657;24,831047;33,116554;63,475727;34,82196;257,728516;280,118652;4,157001;3,085858;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.6;135534,5156;102757,8594;33068,19141;709,931335;61,526871;146,031158;85,571213;208,507828;820,952209;-1,054461;211,033173;4,562068;4,41095;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.7;180929,0156;133654,1406;22099,13867;102,32029;150,627274;6336,15332;95,969215;526,497437;375,613373;-40,631947;249,852692;4,473516;5,846861;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.8;128478,5391;103170,125;20268,74219;62,539909;122,040649;2520,492188;68,297653;9,145812;533,172852;85,204369;332,898895;4,342507;6,658216;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.9;172705,8906;122440,1875;19011,60938;91,67981;85,786507;1781,740234;70,044716;348,74295;649,594177;-23,019373;574,97876;4,330601;6,97711;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.10;130973,2344;111710,0547;26883,67383;85,928955;334,033783;171,948471;92,042374;50,189823;97,678078;733,311035;949,430115;4,520871;7,051958;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.11;130757,3203;103816,5469;18352,875;95,910561;185,477875;494,239838;67,097237;137,983475;875,992371;138,215942;509,460632;4,306569;7,079445;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.12;167478,5781;122456,6016;19297,70508;59,068283;254,314438;1882,751953;103,312439;367,319489;649,024414;44,366013;514,139038;4,454531;7,209618;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.13;102638,1016;64030,48828;20636,18555;117,771309;101,023659;4,247611;51,571335;48,893063;47,452381;11,700436;596,959412;4,261759;11,328899;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.14;120392,1094;82408,80469;20424,33008;3609,858643;82,188789;5,190303;76,725067;327,467499;511,271057;16,036205;352,773193;4,380587;11,546891;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.15;119615,3281;93980,35938;29623,38086;2434,570557;107,874237;209,011948;57,341476;152,909729;429,872253;73,360703;458,971466;4,405348;14,10553;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.16;126900,5;72531,73438;32245,85156;556,231506;68,245399;173,310349;46,489231;31,211657;34,438553;-14,687328;346,712769;4,366969;17,729897;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.17;133393,0156;99664,32813;24615,875;102,369026;164,877213;96,843704;67,695656;155,345078;403,891815;164,498215;403,058594;4,39946;18,824194;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.18;130104,2422;102098,3281;27923,1543;107,583885;289,371887;411,387604;130,334351;167,049149;1016,022217;133,106918;901,613342;4,639344;20,564745;SC2;CF;0;24h
