Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_A7 MPP SC5_Vi1.csv;125463,1172;62759,0625;2,006505;180,112579;106,020004;359,660126;31457,75586;130,196701;2522,73584;497,034668;649,147827;3,394231;77,652702;A7;SC5;Vi;1;MPP;24h
export_A8 MPP SC5_CF0.csv;131924,9844;114381,4609;12501,50586;222,877563;102,393532;914,336121;59,070251;74,805252;1039,159912;134,76088;338,357117;4,149537;221,450562;A8;SC5;CF;0;MPP;24h
export_A8 MPP SC5_CF1.csv;191704,5;97790,48438;5683,640625;114,170441;100,096313;9425,047852;62,732677;307,582947;393,459808;-55,68026;361,112122;3,925942;134,417618;A8;SC5;CF;1;MPP;24h
export_A8 MPP SC5_CV1.csv;117183,8672;101578,4453;8085,21582;12,775345;178,651703;697,158936;10390,27637;192,023575;2267,17749;223,030975;560,946594;5,60334;81,150192;A8;SC5;CV;1;MPP;24h
export_A8 MPP SC5_VC0.csv;158464,4063;81954,53125;6651,89502;265,405243;129,792618;202,998383;37914,84766;171,238785;2593,445801;827,362;221,872086;5,940938;43,761059;A8;SC5;VC;0;MPP;24h
export_A8 MPP SC5_Vi0.csv;162725,2656;102549,3203;4,132099;139,809906;357,329437;791,555603;46558,59766;22,094448;1535,424316;784,096008;392,202789;3,736473;92,050896;A8;SC5;Vi;0;MPP;24h
export_A9 ST-HSC SC5_CF0.csv;142344,2188;72861,51563;10191,17969;189,387527;141,001266;562,753967;102,673943;219,067932;3989,279541;232,995041;789,014038;4,25656;58,462151;A9;SC5;CF;0;ST-HSC;24h
export_A9 ST-HSC SC5_VC0.csv;135348,7656;85104,92188;6087,896484;134,437439;147,865189;349,966736;36068,60547;122,280991;2223,877686;146,739166;306,998505;5,898399;101,3433;A9;SC5;VC;0;ST-HSC;24h
export_B1 MPP SC4_CV0.csv;159476,5313;109350,2422;14279,20898;113,191872;153,471527;414,875458;21031,61719;57,916752;1013,187317;188,990967;573,125977;5,994552;46,34383;B1;SC4;CV;0;MPP;24h
export_B1 MPP SC4_Vi0.csv;157361,6875;91542,27344;4,677698;172,23555;271,189148;185,385788;44700,86328;-32,345013;135,029953;3280,0354;462,99527;3,762054;107,985344;B1;SC4;Vi;0;MPP;24h
export_B10 ST-HSC SC5_CV1.csv;126561,2734;55794,6875;8605,998047;441,125275;55,25296;242,73558;10528,31738;17,468122;1543,537964;882,514038;266,121246;5,626562;214,726852;B10;SC5;CV;1;ST-HSC;24h
export_B10 ST-HSC SC5_VC0.csv;162309,6719;139580,4375;6285,126953;139,955948;163,843842;457,832092;39947,29297;154,843338;2040,581665;97,14119;514,111816;5,939557;73,754097;B10;SC5;VC;0;ST-HSC;24h
export_B11 HSC SC5_CF0.csv;132348,6406;112928,2031;15800,62988;1809,153687;115,024727;136,240448;41,752388;192,032227;143,102859;50,710049;402,953217;4,114906;169,491028;B11;SC5;CF;0;HSC;24h
export_B11 HSC SC5_CV0.csv;155378,2031;97448,78125;13312,96191;341,02951;163,645737;500,428864;18524,53516;185,136536;1396,304688;131,783127;417,676453;5,934056;3,353949;B11;SC5;CV;0;HSC;24h
export_B11 HSC SC5_VC0.csv;166068,125;105617,2266;8132,154785;779,408813;107,992027;527,754333;52670,66406;93,438026;188,594543;33,272755;225,470078;6,103586;153,416397;B11;SC5;VC;0;HSC;24h
export_B12 HSC SC5_CV0.csv;188745,5;107179,8984;19862,08398;4933,791992;61,476166;222,35759;21737,70898;87,189598;-118,418839;84,124481;389,680054;6,106036;188,025406;B12;SC5;CV;0;HSC;24h
export_B12 HSC SC5_VC1.csv.1;111053,4375;71600,92188;4049,622803;527,772949;140,511627;462,739349;22453,08984;118,928459;1160,502686;77,160385;309,503723;5,627644;67,628616;B12;SC5;VC;1;HSC;24h
export_B12 HSC SC5_VC1.csv.2;157739,3125;93860,21875;4233,89502;577,879333;83,18956;546,994751;24136,28516;204,490097;1019,75116;57,388775;325,830597;5,663508;72,839882;B12;SC5;VC;1;HSC;24h
export_B12 HSC SC5_Vi1.csv.1;137055,8438;79875,6875;-0,4056;2829,698242;76,508926;113,814514;23377,32422;139,036484;-50,153263;73,567436;205,26593;0;20,130802;B12;SC5;Vi;1;HSC;24h
export_B12 HSC SC5_Vi1.csv.2;150303,1719;63265,63672;0,426456;2423,153809;64,886024;76,380676;21611,64063;157,01329;-11,473157;6,294312;109,184639;2,803369;40,048084;B12;SC5;Vi;1;HSC;24h
export_B2 MPP SC4_CF0.csv;147983,8906;130531,5781;10844,37988;53,181957;198,340408;610,224854;69,700119;85,897316;830,144775;85,890686;1011,380737;4,156683;4,064119;B2;SC4;CF;0;MPP;24h
export_B2 MPP SC4_VC0.csv;151919,4844;80287,50781;6944,412109;148,142319;284,941833;511,132233;39227,0625;29,145844;819,017517;513,139038;559,899048;5,964602;18,232876;B2;SC4;VC;0;MPP;24h
export_B4 ST-HSC SC4_CV0.csv;153302,1094;78024,21875;13908,47656;122,719582;272,771912;129,178055;19491,59961;57,224281;531,242676;1276,066406;428,617493;5,963121;128,615219;B4;SC4;CV;0;ST-HSC;24h
export_B4 ST-HSC SC4_VC0.csv;189477,5469;89809,94531;6082,939453;41,494335;132,164032;458,30957;33329,44922;190,528992;1091,112061;116,080521;872,664978;5,873895;178,543915;B4;SC4;VC;0;ST-HSC;24h
export_B4 ST-HSC SC4_Vi0.csv;131489,8438;86887,78125;1,421331;172,595306;165,319748;94,731064;36385,49219;170,192627;1654,917114;177,461258;312,57489;3,333035;101,982094;B4;SC4;Vi;0;ST-HSC;24h
export_B5 HSC SC4_Vi1.csv;100074,875;55113,11328;1,13396;388,798462;77,724747;149,278763;28795,85352;53,593719;28,774597;297,636383;431,60318;3,191829;111,492203;B5;SC4;Vi;1;HSC;24h
export_B6 HSC SC4_CF0.csv;122281,2422;79343,71875;12524,56934;755,753662;101,801338;337,493561;47,798603;126,719856;728,562378;84,370255;316,473145;4,085082;134,827454;B6;SC4;CF;0;HSC;24h
export_B6 HSC SC4_VC1.csv.1;166144,7969;79093,88281;4400,953613;440,864502;57,860371;113,599319;22350,01367;153,122559;776,422363;52,503616;285,861481;5,651781;16,878204;B6;SC4;VC;1;HSC;24h
export_B6 HSC SC4_VC1.csv.2;125869,9219;68828,28906;4515,146973;476,753815;94,813431;198,641464;22940,08203;71,408478;806,086609;94,84964;394,336639;5,66765;38,079086;B6;SC4;VC;1;HSC;24h
export_B7 MPP SC5_CF0.csv;157978,2656;91810,32813;22023,66992;189,724716;265,710419;392,493683;111,514481;-51,662201;747,472595;4861,527344;402,269073;4,518569;19,427168;B7;SC5;CF;0;MPP;24h
export_B7 MPP SC5_Vi1.csv.1;114337,1016;61302,98828;2,34927;136,595261;239,157928;291,143585;27402,77344;83,532906;1296,703979;778,161133;270,445679;3,400284;68,455589;B7;SC5;Vi;1;MPP;24h
export_B7 MPP SC5_Vi1.csv.2;129116,6406;75792,14844;2,003142;184,651535;157,945831;436,352081;29181,68164;104,670509;1642,869751;719,685059;316,66394;3,370652;124,790329;B7;SC5;Vi;1;MPP;24h
export_B8 MPP SC5_CF1.csv;129335,6016;70692,85938;8144,649902;90,64743;213,60733;283,898224;66,135262;140,043396;838,035217;119,940857;282,265839;4,052645;34,655697;B8;SC5;CF;1;MPP;24h
export_B8 MPP SC5_VC0.csv;155431,625;98190,84375;8705,160156;387,117828;180,597427;219,308563;59428,30859;-37,122314;285,503174;3906,646484;199,836456;6,161566;103,059227;B8;SC5;VC;0;MPP;24h
export_B8 MPP SC5_Vi0.csv;181182,2344;140102,5313;1,750925;200,392166;166,128143;459,25766;39119,24219;69,576157;1593,518799;1797,133301;245,890823;3,419327;167,663971;B8;SC5;Vi;0;MPP;24h
export_B9 ST-HSC SC5_CF0.csv;134665,3125;79564,39063;18972,5918;950,392639;89,079651;190,341415;31,764286;-110,469704;42,03511;3799,865723;194,503036;4,087124;58,12339;B9;SC5;CF;0;ST-HSC;24h
export_B9 ST-HSC SC5_Vi1.csv;139521,9688;78713,92969;1,226073;227,538254;90,008804;416,707886;29828,45703;15,153021;2040,289551;278,6297;472,634003;3,226632;190,104477;B9;SC5;Vi;1;ST-HSC;24h
export_C1 MPP SC4_CF0.csv;175030,375;104171,7734;17411,52148;105,253029;207,380661;250,173904;73,062599;116,699745;367,255219;1070,642212;386,828796;4,316556;65,757462;C1;SC4;CF;0;MPP;24h
export_C1 MPP SC4_CV0.csv;109190,4453;53093,09375;11335,36328;27,520864;261,097687;423,462616;20871,53125;-48,509239;667,595032;245,559052;286,722839;5,921305;198,324707;C1;SC4;CV;0;MPP;24h
export_C10 ST-HSC SC5_CV0.csv;185558,3438;102798,1797;14837,89551;205,459915;224,231064;301,537506;18581,23047;146,355545;3327,38501;458,802887;395,124756;5,968297;213,940887;C10;SC5;CV;0;ST-HSC;24h
export_C10 ST-HSC SC5_Vi0.csv;152286,4531;81073,17188;1,769997;288,593903;194,111221;95,749153;40823,3125;-10,59399;80,732658;2648,753662;305,454895;3,435748;127,543228;C10;SC5;Vi;0;ST-HSC;24h
export_C11 HSC SC5_CF1.csv;158586,5938;98555,61719;9618,638672;334,003693;87,277985;672,445984;66,761124;186,911118;2105,209717;133,872055;387,256073;4,10662;133,371521;C11;SC5;CF;1;HSC;24h
export_C11 HSC SC5_CV0.csv;112270,9766;82397,38281;18095,5918;3857,034912;23,279133;164,010437;23208,97852;64,483551;-92,185143;2692,747559;250,265564;6,097544;126,453445;C11;SC5;CV;0;HSC;24h
export_C11 HSC SC5_Vi1.csv;142158,6094;95474,76563;2,246686;1414,45166;79,284523;207,34613;19138,97852;241,577881;335,615051;49,955864;182,404785;3,276352;91,185661;C11;SC5;Vi;1;HSC;24h
export_C12 HSC SC5_CF1.csv;118372,2734;72752,58594;6206,455078;152,695313;110,436775;871,996887;53,88121;207,660965;735,852417;26,178288;382,621765;3,906256;36,968285;C12;SC5;CF;1;HSC;24h
