FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
132890;77742,70313;75310,34375;919,046509;7231,347168;-32,001644;3469,359863;1538,330078;-51,007412;8,831931;CF;D5;SC2;HSC;24h
145651;75968,41406;127270,5078;7774,898438;5427,334961;-16,203327;1020,56427;4907,87207;528,87915;8,936347;CF;D4;SC2;ST-HSC;24h
122044;59346,49219;76868,05469;-223,024902;2930,820068;-12,243178;701,067688;4738,197754;434,644562;9,052204;CF;D3;SC2;ST-HSC;24h
138334;80098,90625;75155,64063;588,64093;3897,38916;0,72063;-145,457031;6394,006836;793,736938;9,163119;CF;D2;SC2;MPP;24h
133747;69148,52344;74948,58594;1945,22583;3211,168457;1,865699;-574,882263;6754,272461;921,918274;9,349232;CF;D1;SC2;MPP;24h
170713;137135,6094;149161,75;15709,48926;5763,8125;-5,266096;-280,550018;5743,532227;1076,073608;9,464337;CF;E1;SC2;MPP;24h
150840;79303,98438;78779,19531;422,011566;1522,482178;-27,708502;76,009361;25232,43945;831,797058;9,567303;CF;E2;SC2;MPP;24h
152995;84177,03125;72695,91406;448,146912;3690,022705;-13,289001;-323,371552;16001,94727;99,517403;9,683643;CF;E3;SC2;ST-HSC;24h
139997;63886,34375;84181,79688;1086,963867;5045,396484;0,332915;-615,679443;1197,513306;68,226074;9,814862;CF;E4;SC2;ST-HSC;24h
151815;69284,17969;67797,875;206,635391;7574,800781;-26,900621;18498,28906;546,8703;-201,697479;9,974816;CF;E5;SC2;HSC;24h
136693;77823,625;89529,65625;94,375946;6417,957031;-36,201641;4469,425781;2924,526367;-30,910746;10,091426;CF;E6;SC2;HSC;24h
147633;76248,0625;86883,09375;965,358826;1846,915039;37,843346;439,944946;17923,72461;1626,68689;10,195305;CF;E7;SC3;MPP;24h
137267;68270,30469;87174,64063;6930,086914;2924,092285;-26,633188;1474,896729;1519,545898;1061,61084;10,340543;CF;E8;SC3;MPP;24h
147897;71762,95313;82125,47656;-538,284302;6208,07373;-6,939857;1972,236328;1513,407104;301,422791;10,458172;CF;E9;SC3;ST-HSC;24h
114813;159747,9844;66645,95313;2208,180908;6861,012207;-15,90011;44,569519;6639,878906;509,283142;10,581602;CF;E10;SC3;ST-HSC;24h
