Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CF0.csv.30;143628,9219;117316,0703;25356,06445;44,079807;679,917358;75,572815;82,796127;106,712898;841,85199;205,329041;826,593323;4,470394;173,668945;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.31;153294,5156;125679,4609;28581,66211;6,096731;45,256615;837,967285;81,727417;197,347641;876,414124;159,024323;936,470764;4,503178;175,398575;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.32;128454,2656;107015,8828;27082,0332;141,314194;66,458565;2191,139648;74,294151;82,378166;142,626709;153,961472;298,492126;4,457344;180,066162;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.33;144060,1094;115765,2422;23648,99414;827,199768;63,246944;1026,890869;65,547256;152,393082;408,393555;65,631966;424,158081;4,377251;192,186707;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.34;93354,57031;62506,1875;19842,7168;904,729309;41,544411;-16,209244;34,931953;70,64325;73,248138;-0,183442;180,141739;4,130086;202,654358;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.35;94883,50781;52399;31055,49219;54,19463;986,174316;4,125864;44,857079;93,889397;728,670105;254,45137;234,588211;4,344442;208,852707;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF1.csv.1;85268,375;40638,53906;16680,51563;239,154663;64,53772;319,769623;43,053833;20,493729;649,316406;39,980907;266,145813;4,140974;38,081497;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.2;81724,82031;56970,21484;16686,76367;3,871315;216,61705;24,982222;53,030499;165,152969;629,493896;103,823723;522,530884;4,205092;48,200668;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.3;122330,7734;82709,09375;16347,75098;72,770958;181,758133;849,449158;57,798267;102,937103;948,601135;50,811066;483,349548;4,225227;58,247906;SC2;CF;1;24h
export_H1 bulk ckit+ SC2_CF1.csv.4;116863,5859;59929,87891;17530,24219;1123,383179;20,462561;47,584705;52,182751;50,999374;641,677734;77,417938;216,486572;4,215286;58,501064;SC2;CF;1;24h
