Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CF0.csv.1;133852,3594;80359,24219;27296,79492;51,760437;336,948517;-14,721528;46,268459;57,013062;485,053223;513,715027;360,264496;4,314339;1,375736;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.2;118710,625;81075,42969;26673,57031;948,417236;286,64801;179,089752;46,439873;-86,60614;87,790993;4052,183838;751,862061;4,308382;2,346903;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.3;103479,8047;80356,89063;20593,88867;399,93515;90,92524;100,090126;25,930338;80,954453;224,611893;25,714703;275,472626;4,049987;2,552848;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.4;138760,2188;79270,29688;19155,25781;1309,798096;38,30397;113,658752;41,751545;48,628384;61,314682;233,347839;269,455933;4,174024;2,658255;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.5;148526,9531;105463,4219;25567,45313;404,486755;123,952347;55,429108;63,751442;130,716095;515,416992;28,19726;587,246277;4,392673;2,972991;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.6;109704,9844;69426,20313;22917,73438;262,457123;533,824402;255,720337;29,116768;10,274957;77,984879;2874,117432;594,791992;4,118412;6,010453;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.7;131426,7813;93969,6875;34601,98047;295,176392;72,04171;-56,03656;79,553558;199,308319;892,442322;20,659014;909,403625;4,553598;7,681959;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.8;129960,3672;117557,375;19724,68164;65,680786;236,569687;894,411255;93,669571;200,099594;803,610168;63,898376;821,374817;4,431161;9,244271;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.9;135058,2969;87475,22656;24147,68555;986,07666;97,170128;15,294888;55,19437;40,875618;497,210541;49,67704;458,664429;4,330867;9,351828;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.10;119713,25;81189,07031;17178,67773;1270,354858;88,742081;304,124481;42,434109;37,71587;830,53125;148,805191;652,319824;4,145558;11,403454;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.11;103799,3984;86303,46094;27822,95898;389,710175;1780,773682;192,728241;244,458252;8,762956;797,36676;774,691956;482,526764;4,831383;11,784609;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.12;129797,7813;101685,3984;21927,93164;74,106354;794,938171;223,363419;60,661945;-1,48463;322,646149;874,05365;600,582642;4,330261;19,415913;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.13;116560,6875;75936,96875;23150,46875;2453,552246;72,076866;93,687874;56,007702;-13,862093;42,980209;1222,704102;288,456177;4,322408;19,488224;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.14;105065,3672;72830,94531;25575,66602;7421,083496;304,506744;203,333954;39,604626;-75,03009;31,567757;3722,387451;167,664246;4,246581;23,079853;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.15;111568,7656;78736,86719;22186,08789;241,641174;864,151428;57,928684;65,105873;55,459332;954,002136;1448,411865;351,501434;4,355567;23,611399;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.16;99940,96094;74598,60156;17868,10352;258,42926;1560,977417;168,064117;42,129715;93,213966;437,164063;757,265137;299,994507;4,155431;26,979158;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.17;103955,3516;64867,8125;20840,84961;373,736847;193,080185;61,406937;38,40625;81,449997;293,899109;378,939728;361,525909;4,174276;27,075289;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.18;128163,0156;91313,8125;29500,30664;1020,039063;98,104324;56,042171;59,989346;129,857788;148,963043;23,269848;227,133331;4,417933;28,926554;SC2;CF;0;24h
export_H1 bulk ckit+ SC2_CF0.csv.19;148511,8125;79964,05469;23316,30273;700,479126;124,598038;1135,318237;62,455994;5,552002;680,900024;95,974373;209,170853;4,358065;30,12252;SC2;CF;0;24h
